Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,34.0,33.0,35.0,31.0,31.0,32.0,35.0,33.0,34.0,36.0,30.0,32.0,35.0,34.0,34.0,31.0,36.0,36.0,35.0,36.0,33.0,34.0,35.0,34.0,33.0,34.0,35.0,33.0,33.0,32.0,35.0,35.0,31.0,32.0,32.0,36.0,30.0,35.0,30.0,34.0,33.475,1.789
1,34.0,31.0,32.0,31.0,31.0,32.0,35.0,33.0,34.0,33.0,29.0,32.0,32.0,33.0,32.0,31.0,35.0,32.0,34.0,36.0,32.0,34.0,32.0,34.0,32.0,34.0,34.0,32.0,33.0,32.0,32.0,33.0,31.0,32.0,32.0,31.0,30.0,32.0,28.0,32.0,32.35,1.558
2,32.0,31.0,32.0,31.0,31.0,32.0,35.0,33.0,34.0,33.0,29.0,31.0,31.0,31.0,32.0,31.0,33.0,31.0,34.0,34.0,32.0,33.0,32.0,34.0,32.0,30.0,30.0,32.0,32.0,32.0,32.0,33.0,31.0,32.0,32.0,31.0,30.0,32.0,28.0,31.0,31.8,1.382
3,30.0,31.0,31.0,31.0,29.0,32.0,33.0,33.0,25.0,33.0,29.0,31.0,31.0,31.0,29.0,31.0,33.0,30.0,33.0,33.0,30.0,33.0,32.0,34.0,28.0,30.0,30.0,32.0,32.0,32.0,31.0,30.0,31.0,30.0,32.0,31.0,29.0,31.0,28.0,31.0,30.9,1.729
4,30.0,31.0,31.0,31.0,29.0,32.0,31.0,32.0,25.0,28.0,28.0,31.0,29.0,30.0,29.0,31.0,31.0,30.0,31.0,30.0,30.0,29.0,30.0,31.0,27.0,30.0,30.0,30.0,32.0,32.0,31.0,30.0,31.0,30.0,31.0,30.0,29.0,31.0,28.0,31.0,30.075,1.421
5,30.0,31.0,31.0,31.0,29.0,32.0,31.0,32.0,25.0,28.0,28.0,31.0,29.0,30.0,28.0,31.0,31.0,30.0,31.0,29.0,30.0,29.0,30.0,30.0,27.0,29.0,30.0,30.0,32.0,31.0,31.0,30.0,29.0,30.0,30.0,30.0,29.0,31.0,27.0,31.0,29.85,1.459
6,29.0,31.0,31.0,31.0,29.0,30.0,31.0,32.0,25.0,28.0,28.0,31.0,29.0,30.0,28.0,31.0,31.0,30.0,31.0,29.0,30.0,29.0,30.0,30.0,27.0,29.0,30.0,30.0,32.0,30.0,31.0,30.0,29.0,30.0,30.0,30.0,29.0,31.0,27.0,31.0,29.75,1.41
7,29.0,31.0,31.0,31.0,29.0,30.0,31.0,32.0,25.0,28.0,28.0,31.0,29.0,30.0,28.0,30.0,31.0,30.0,31.0,29.0,30.0,29.0,30.0,30.0,27.0,28.0,30.0,29.0,32.0,30.0,31.0,30.0,29.0,30.0,30.0,30.0,29.0,31.0,27.0,31.0,29.675,1.421
8,29.0,31.0,31.0,31.0,29.0,30.0,31.0,32.0,25.0,28.0,28.0,31.0,29.0,30.0,28.0,30.0,31.0,30.0,31.0,29.0,30.0,29.0,30.0,30.0,27.0,28.0,30.0,29.0,32.0,30.0,31.0,28.0,29.0,30.0,30.0,30.0,29.0,31.0,27.0,31.0,29.625,1.444
9,29.0,31.0,31.0,31.0,29.0,30.0,31.0,32.0,25.0,28.0,28.0,31.0,29.0,30.0,28.0,30.0,31.0,30.0,31.0,29.0,30.0,29.0,30.0,30.0,27.0,28.0,28.0,29.0,32.0,30.0,31.0,28.0,28.0,30.0,30.0,30.0,29.0,31.0,27.0,31.0,29.55,1.482
10,29.0,30.0,31.0,29.0,29.0,30.0,31.0,32.0,25.0,28.0,28.0,31.0,29.0,30.0,28.0,30.0,31.0,30.0,31.0,29.0,30.0,29.0,30.0,30.0,27.0,26.0,28.0,29.0,30.0,30.0,31.0,28.0,28.0,30.0,30.0,30.0,29.0,31.0,27.0,31.0,29.375,1.478
11,29.0,30.0,29.0,29.0,29.0,30.0,31.0,31.0,25.0,28.0,28.0,31.0,29.0,30.0,28.0,30.0,31.0,29.0,31.0,29.0,30.0,29.0,30.0,30.0,27.0,26.0,28.0,29.0,30.0,30.0,31.0,28.0,28.0,30.0,27.0,30.0,29.0,31.0,27.0,31.0,29.2,1.453
12,29.0,30.0,29.0,29.0,29.0,29.0,31.0,31.0,25.0,28.0,28.0,31.0,29.0,30.0,28.0,30.0,31.0,29.0,31.0,29.0,29.0,29.0,30.0,30.0,27.0,26.0,28.0,29.0,30.0,30.0,31.0,28.0,28.0,30.0,27.0,30.0,29.0,31.0,27.0,31.0,29.15,1.441
13,29.0,30.0,29.0,29.0,29.0,29.0,31.0,31.0,25.0,28.0,28.0,31.0,29.0,30.0,28.0,30.0,31.0,29.0,31.0,29.0,27.0,29.0,30.0,30.0,27.0,26.0,28.0,29.0,30.0,30.0,31.0,28.0,28.0,29.0,27.0,26.0,29.0,31.0,27.0,31.0,28.975,1.541
14,29.0,30.0,27.0,29.0,29.0,29.0,31.0,31.0,25.0,28.0,28.0,31.0,29.0,30.0,28.0,30.0,31.0,29.0,31.0,29.0,27.0,29.0,30.0,30.0,27.0,25.0,28.0,29.0,30.0,30.0,31.0,28.0,28.0,28.0,27.0,26.0,29.0,31.0,27.0,30.0,28.85,1.605
15,29.0,30.0,27.0,29.0,29.0,29.0,31.0,31.0,25.0,28.0,28.0,31.0,29.0,30.0,28.0,29.0,31.0,29.0,31.0,29.0,27.0,29.0,30.0,30.0,27.0,22.0,28.0,29.0,30.0,30.0,31.0,28.0,28.0,28.0,27.0,26.0,29.0,31.0,27.0,30.0,28.75,1.827
