Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
52,52.0,56.0,49.0,56.0,57.0,56.0,56.0,55.0,57.0,53.0,59.0,52.0,56.0,55.0,58.0,52.0,58.0,56.0,57.0,59.0,58.0,56.0,51.0,54.0,58.0,57.0,54.0,56.0,55.0,55.0,55.433,2.39
53,52.0,56.0,49.0,56.0,57.0,56.0,56.0,55.0,57.0,53.0,59.0,52.0,56.0,55.0,58.0,52.0,58.0,56.0,57.0,59.0,58.0,56.0,51.0,54.0,58.0,57.0,54.0,56.0,55.0,55.0,55.433,2.39
54,52.0,56.0,49.0,56.0,57.0,56.0,56.0,55.0,57.0,53.0,59.0,52.0,56.0,55.0,58.0,52.0,58.0,56.0,57.0,59.0,58.0,56.0,51.0,54.0,58.0,57.0,54.0,56.0,55.0,55.0,55.433,2.39
55,52.0,56.0,49.0,56.0,57.0,56.0,56.0,55.0,57.0,53.0,59.0,52.0,56.0,55.0,58.0,52.0,58.0,56.0,57.0,59.0,58.0,56.0,51.0,54.0,58.0,57.0,54.0,56.0,55.0,55.0,55.433,2.39
56,52.0,56.0,49.0,56.0,57.0,56.0,56.0,55.0,57.0,53.0,59.0,52.0,56.0,55.0,58.0,52.0,58.0,56.0,57.0,59.0,58.0,56.0,51.0,54.0,58.0,57.0,54.0,56.0,55.0,55.0,55.433,2.39
57,52.0,56.0,49.0,56.0,57.0,56.0,56.0,55.0,57.0,53.0,59.0,52.0,56.0,55.0,58.0,52.0,58.0,56.0,57.0,59.0,58.0,56.0,51.0,54.0,58.0,57.0,54.0,56.0,55.0,55.0,55.433,2.39
58,52.0,56.0,49.0,56.0,57.0,56.0,56.0,55.0,57.0,53.0,59.0,52.0,56.0,55.0,58.0,52.0,58.0,56.0,57.0,59.0,58.0,56.0,51.0,54.0,58.0,57.0,54.0,56.0,55.0,55.0,55.433,2.39
59,52.0,56.0,49.0,56.0,57.0,56.0,56.0,55.0,57.0,53.0,59.0,52.0,56.0,55.0,58.0,52.0,58.0,56.0,57.0,59.0,58.0,56.0,51.0,54.0,58.0,57.0,54.0,56.0,55.0,55.0,55.433,2.39
60,52.0,56.0,49.0,56.0,57.0,56.0,56.0,55.0,57.0,53.0,59.0,52.0,56.0,55.0,58.0,52.0,58.0,56.0,57.0,59.0,58.0,56.0,51.0,54.0,58.0,57.0,54.0,56.0,55.0,55.0,55.433,2.39
61,52.0,56.0,49.0,56.0,57.0,56.0,54.0,55.0,57.0,53.0,59.0,52.0,56.0,54.0,58.0,52.0,58.0,56.0,57.0,59.0,58.0,56.0,51.0,54.0,58.0,57.0,54.0,56.0,55.0,55.0,55.333,2.413
